web_scraper_order,web_scraper_start_url,container_autreanimaux,Nom,Prix,Adresse,Image_lien
"1771110605-105","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-4785131","Chat persan","400 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4785131_uploaded_image1_1717786702.jpg"
"1771110609-106","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/poussin-cochin-disponible-4794466","Poussin Cochin disponible","17 500 CFA","Dakar, Sénégal",""
"1771110613-107","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/cochin-fauve-4794473","Cochin Fauve","17 500 CFA","Dakar, Sénégal",""
"1771110617-108","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/poussin-dinde-rouge-4794677","Poussin dinde rouge","15 000 CFA","Dakar, Sénégal",""
"1771110620-109","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chat-scotish-4803206","Chat scotish","750 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4629619_uploaded_image1_1709768692.jpg"
"1771110625-110","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/paon-4804686","Paon","140 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4435457_uploaded_image1_1698661056.jpg"
"1771110628-111","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/foin-4807500","Foin","4 600 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3747916_uploaded_image1_1655548507.jpg"
"1771110632-112","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/scottish-fold-et-scottish-straight-de-race-pure-4808971","Scottish fold et scottish straight de race pure","700 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1771110635-113","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chatons-persan-pure-race-4808981","Chatons Persan pure race","430 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344588_uploaded_image1_1748177635.jpg"
"1771110638-114","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/persan-pure-race-4818301","Persan pure race","500 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344588_uploaded_image1_1748177635.jpg"
"1771110642-115","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-blanches-4846024","Perruches ondulées blanches","20 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal",""
"1771110645-116","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-4846053","Perruche ondulée","30 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4846053_uploaded_image1_1721147434.jpg"
"1771110648-117","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-4846061","Perruche ondulée","15 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4846053_uploaded_image1_1721147434.jpg"
"1771110652-118","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliardes-4851931","Vache montbéliardes","2 000 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_4753936_uploaded_image1_1716257870.jpg"
"1771110656-119","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/bufs-race-goudali-4853741","Bœufs race Goudali","Prix sur demande","Dakar, Sénégal",""
"1771110665-120","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/siamois-4855435","Siamois","200 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5275205_uploaded_image1_1744282516.jpg"
"1771110671-121","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chaton-hiamalayen-4864117","Chaton hiamalayen","200 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1771110678-122","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/vache-4864739","Vache","350 000 CFA","Gassane, Sénégal","https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png"
"1771110688-123","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/vache-4878570","vache","Prix sur demande","Niaga, Sénégal",""
"1771110691-124","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4880849","Œufs de caille","3 000 CFA","Thies, Sénégal",""
"1771110696-125","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/autruche-4885138","Autruche","750 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_4292496_uploaded_image1_1689236421.jpg"
"1771110704-126","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/poisson-aquarium-4898597","Poisson Aquarium","8 500 CFA","Dakar Plateau, Dakar, Sénégal",""
"1771110708-127","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-4903200","Perroquets","50 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5560070_uploaded_image1_1759698099.jpg"
"1771110739-128","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/poussins-de-canard-4917429","Poussins de canard","2 500 CFA","Guediawaye, Dakar, Sénégal",""
"1771110742-129","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chatons-4922546","Chatons","Prix sur demande","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5017864_uploaded_image1_1730286261.jpg"
"1771110747-130","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/pintade-noire-4942157","Pintade noire","800 000 CFA","Hann Bel-Air, Dakar, Sénégal",""
"1771110750-131","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chaton-4956743","Chaton","50 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4540876_uploaded_image1_1705028116.jpg"
"1771110753-132","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/cailles-de-chair-4957482","Cailles de chair","2 500 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5514762_uploaded_image2_1757337112.jpeg"
"1771110757-133","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4962446","Œufs de caille","4 500 CFA","Mbour, Sénégal",""
"1771110760-134","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-4967605","Perroquet","399 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4185842_uploaded_image1_1682102205.jpg"
"1771110764-135","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/bleus-4974963","Bleus","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2663712_uploaded_image1_1601554766.jpg"
"1771110768-136","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/tortue-4976748","Tortue","35 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_5672207_uploaded_image1_1765734200.jpg"
"1771110771-137","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4995019","Boeuf","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png"
"1771110774-138","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/buf-4996496","Bœuf","700 000 CFA","Keur Massar, Sénégal",""
"1771110778-139","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-4997392","Chat Siamois","170 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4928423_uploaded_image1_1725508257.jpg"
"1771110781-140","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/couple-dinde-5001804","Couple dinde","Prix sur demande","Guediawaye, Dakar, Sénégal",""
"1771110784-141","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/caille-5001807","Caille","1 500 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5001807_uploaded_image1_1729346954.jpg"
"1771110788-142","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chaton-de-1-mois-5017864","Chaton de 1 mois","20 000 CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_3450631_uploaded_image1_1637664547.jpg"
"1771110815-143","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/dindes-5035473","Dindes","25 000 CFA","Almadies 2, Dakar, Sénégal",""
"1771110818-144","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/british-et-scottish-pure-race-5041101","British et scottish pure race","650 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5041101_uploaded_image1_1731465886.jpg"
"1771110821-145","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/persan-pure-race-5041103","persan pure race","400 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1771110825-146","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/himalayen-5041105","Himalayen","265 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4864117_uploaded_image1_1722115248.jpg"
"1771110827-147","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/mondain-5041931","Mondain","140 000 CFA","Guediawaye, Dakar, Sénégal",""
"1771110833-148","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-5050095","Chat Persan","400 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1771110836-149","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/buf-5054268","Bœuf","800 000 CFA","Mbao, Dakar, Sénégal",""
"1771110840-150","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/buf-5054269","Bœuf","800 000 CFA","Mbao, Dakar, Sénégal",""
"1771110843-151","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/tortues-terrestres-5066823","Tortues terrestres","35 000 CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422356_uploaded_image1_1752488553.jpg"
"1771110847-152","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/poissons-aquarium-5068623","Poissons Aquarium","8 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5068623_uploaded_image1_1732965550.jpg"
"1771110850-153","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chaton-siamois-5092278","Chaton Siamois","235 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5092278_uploaded_image1_1734215302.jpg"
"1771110854-154","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/chaton-5096028","Chaton","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5473342_uploaded_image1_1755076567.jpg"
"1771110857-155","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-5103176","Perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg"
"1771110860-156","https://sn.coinafrique.com/categorie/autres-animaux?page=2","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-5125396","Perroquets","15 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4570755_uploaded_image2_1706701706.jpeg"
"1771110870-157","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-perruches-ondulees-5138284","Perroquet perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg"
"1771110873-158","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5179428","Boeuf","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_5480832_uploaded_image1_1755523426.jpg"
"1771110876-159","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/caille-5182728","Caille","15 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3797181_uploaded_image1_1658618385.jpg"
"1771110879-160","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/canards-males-et-femelles-5185900","Canards mâles et femelles","Prix sur demande","Thies, Sénégal",""
"1771110884-161","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/hamster-5189132","Hamster","15 000 CFA","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_3689324_uploaded_image1_1652181532.jpg"
"1771110887-162","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5205943","Boeuf","550 CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_5480832_uploaded_image1_1755523426.jpg"
"1771110891-163","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-5213818","Chaton Angora","210 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2826620_uploaded_image1_1607777038.jpg"
"1771110894-164","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-5214349","Perroquet","60 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5560070_uploaded_image1_1759698099.jpg"
"1771110898-165","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5231174","Boeuf","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_5480832_uploaded_image1_1755523426.jpg"
"1771110902-166","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-5234859","Chaton Scottish","500 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4540889_uploaded_image1_1705029103.jpg"
"1771110905-167","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-5237101","Perroquets","60 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5560070_uploaded_image1_1759698099.jpg"
"1771110909-168","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/vaches-montbeliarde-5262041","Vaches Montbéliarde","900 CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_4664799_uploaded_image1_1711657831.jpg"
"1771110913-169","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chatons-siamois-5275205","Chatons Siamois","150 000 CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_4855435_uploaded_image1_1721662817.jpg"
"1771110915-170","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-5278827","Chaton","375 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_5234859_uploaded_image1_1742137563.jpg"
"1771110919-171","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/couple-pintades-adultes-5295025","Couple pintades adultes","35 000 CFA","Sicap foire, Dakar, Sénégal",""
"1771110923-172","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-5297087","Chat Persan","450 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4386249_uploaded_image1_1695340690.jpg"
"1771110926-173","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/cheval-5300026","Cheval","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_4092862_uploaded_image1_1676283623.jpg"
"1771110929-174","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/canards-5300877","Canards","7 000 CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_4056116_uploaded_image1_1674103896.jpg"
"1771110933-175","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/vaches-5308237","Vaches","325 CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5262041_uploaded_image1_1743610261.jpg"
"1771110937-176","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chevre-race-ndama-5315130","Chèvre race ndama","350 000 CFA","Rufisque, Sénégal",""
"1771110941-177","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5317378","Boeuf","350 000 CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg"
"1771110944-178","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/cailles-5321576","Cailles","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_4957482_uploaded_image1_1727090624.jpg"
"1771110948-179","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-rose-gorge-5329928","Perroquet Rose Gorge","50 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5462432_uploaded_image1_1754495711.jpg"
"1771110953-180","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chatons-5330509","Chatons","200 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5473342_uploaded_image1_1755076567.jpg"
"1771110957-181","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turc-5341379","Chaton Angora turc","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_3681874_uploaded_image1_1651750026.jpg"
"1771110960-182","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-5344588","Chaton","350 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5473342_uploaded_image1_1755076567.jpg"
"1771110964-183","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/bouc-5350345","Bouc","80 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2881915_uploaded_image1_1610303521.jpg"
"1771110994-184","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/veau-5363603","Veau","6 500 000 CFA","Sicap Liberté, Dakar, Sénégal",""
"1771110998-185","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/poisson-aquarium-5370855","Poisson Aquarium","7 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5068623_uploaded_image1_1732965550.jpg"
"1771111005-186","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/taureaux-5419672","Taureaux","950 000 CFA","Bambey, Sénégal",""
"1771111015-187","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/taureau-5427578","Taureau","Prix sur demande","Bambey, Sénégal","https://images.coinafrique.com/thumb_5419672_uploaded_image1_1752312673.jpg"
"1771111019-188","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-5435961","Chat Siamois","250 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_4928423_uploaded_image1_1725508257.jpg"
"1771111022-189","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/buf-5437295","Bœuf","650 CFA","Bambey, Sénégal",""
"1771111025-190","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/poulet-et-dinde-5441026","Poulet et dinde","Prix sur demande","Thies, Sénégal",""
"1771111029-191","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/bufs-5452005","Bœufs","650 CFA","Bambey, Sénégal",""
"1771111033-192","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/bufs-5452011","Bœufs","550 CFA","Bambey, Sénégal",""
"1771111036-193","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/buf-5454263","Bœuf","Prix sur demande","Niaga, Sénégal",""
"1771111041-194","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-5462432","Perroquets","60 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5560070_uploaded_image1_1759698099.jpg"
"1771111046-195","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-5473339","Chaton persan","400 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5426216_uploaded_image1_1752670435.jpg"
"1771111050-196","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-5473342","Chaton Scottish","750 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4808971_uploaded_image1_1719267956.jpg"
"1771111054-197","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/vache-5479568","Vache","850 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4753935_uploaded_image1_1716257776.jpg"
"1771111058-198","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5480832","Boeuf","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_5480832_uploaded_image1_1755523426.jpg"
"1771111062-199","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5480837","Boeuf","Prix sur demande","Niaga, Sénégal","https://images.coinafrique.com/thumb_5480832_uploaded_image1_1755523426.jpg"
"1771111066-200","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-ragdoll-5482181","Chaton Ragdoll","950 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3613416_uploaded_image1_1647551529.jpg"
"1771111070-201","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-5485800","Chat siamois","Prix sur demande","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5512930_uploaded_image1_1757238545.jpg"
"1771111074-202","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/lapin-nain-5493761","Lapin nain","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal",""
"1771111079-203","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/oie-5499869","Oie","40 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3569402_uploaded_image1_1644969388.jpg"
"1771111083-204","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-5504764","Chaton","35 000 CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5017864_uploaded_image1_1730286261.jpg"
"1771111086-205","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/paon-5506967","Paon","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_4686441_uploaded_image1_1712838619.jpg"
"1771111091-206","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-5512930","Chat  siamois","Prix sur demande","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5512930_uploaded_image1_1757238545.jpg"
"1771111095-207","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chats-5512934","Chats","Prix sur demande","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5512930_uploaded_image1_1757238545.jpg"
"1771111099-208","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/cailles-et-ufs-de-caille-5514762","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal",""
"1771111103-209","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/oies-toulouse-5520138","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1771111107-210","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-chartreux-5523792","Chaton Chartreux","100 000 CFA","Ouest Foire, Dakar, Sénégal",""
"1771111111-211","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/calopsite-elegante-5530646","Calopsite élégante","75 000 CFA","Point E, Dakar, Sénégal",""
"1771111115-212","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/angora-turc-chat-5536029","Angora turc-chat","Prix sur demande","Sicap Liberté, Dakar, Sénégal",""
"1771111119-213","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/taureau-metis-5538746","Taureau métis","2 500 000 CFA","Fatick, Sénégal",""
